source_id,song_id,section,section_type,section_index,start_time,end_time,genre,mood,instruments,energy,narrative_role,license,description
10152023_-_021_-_Future_Type_Beat_-_Tabu__prod_kaverr_x_blxkdalegend_seg000,10152023 - 021 - Future Type Beat - Tabu (prod kaverr x blxkdalegend),intro,intro,1,0.0,30.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.30,sparse opening,owned,"intro, 104 BPM, C# minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_021_-_Future_Type_Beat_-_Tabu__prod_kaverr_x_blxkdalegend_seg001,10152023 - 021 - Future Type Beat - Tabu (prod kaverr x blxkdalegend),verse,verse,2,30.0,60.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 104 BPM, C# minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_021_-_Future_Type_Beat_-_Tabu__prod_kaverr_x_blxkdalegend_seg002,10152023 - 021 - Future Type Beat - Tabu (prod kaverr x blxkdalegend),hook,hook,3,60.0,90.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 104 BPM, C# minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_021_-_Future_Type_Beat_-_Tabu__prod_kaverr_x_blxkdalegend_seg003,10152023 - 021 - Future Type Beat - Tabu (prod kaverr x blxkdalegend),verse,verse,4,90.0,120.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 104 BPM, C# minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_021_-_Future_Type_Beat_-_Tabu__prod_kaverr_x_blxkdalegend_seg004,10152023 - 021 - Future Type Beat - Tabu (prod kaverr x blxkdalegend),hook,hook,5,120.0,150.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 104 BPM, C# minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_021_-_Future_Type_Beat_-_Tabu__prod_kaverr_x_blxkdalegend_seg005,10152023 - 021 - Future Type Beat - Tabu (prod kaverr x blxkdalegend),outro,outro,6,150.0,180.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.25,closing,owned,"outro, 104 BPM, C# minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_022_-__FREE__Jaydayoungan_Type_Beat__Run_It____Prod._GD_Beats__gd_seg000,"10152023 - 022 - [FREE] Jaydayoungan Type Beat ""Run It"" | Prod. GD Beats (@gd.beats)",intro,intro,1,0.0,30.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.30,sparse opening,owned,"intro, 107 BPM, D minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_022_-__FREE__Jaydayoungan_Type_Beat__Run_It____Prod._GD_Beats__gd_seg001,"10152023 - 022 - [FREE] Jaydayoungan Type Beat ""Run It"" | Prod. GD Beats (@gd.beats)",verse,verse,2,30.0,60.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 107 BPM, D minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_022_-__FREE__Jaydayoungan_Type_Beat__Run_It____Prod._GD_Beats__gd_seg002,"10152023 - 022 - [FREE] Jaydayoungan Type Beat ""Run It"" | Prod. GD Beats (@gd.beats)",hook,hook,3,60.0,90.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 107 BPM, D minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_022_-__FREE__Jaydayoungan_Type_Beat__Run_It____Prod._GD_Beats__gd_seg003,"10152023 - 022 - [FREE] Jaydayoungan Type Beat ""Run It"" | Prod. GD Beats (@gd.beats)",verse,verse,4,90.0,120.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 107 BPM, D minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_022_-__FREE__Jaydayoungan_Type_Beat__Run_It____Prod._GD_Beats__gd_seg004,"10152023 - 022 - [FREE] Jaydayoungan Type Beat ""Run It"" | Prod. GD Beats (@gd.beats)",hook,hook,5,120.0,150.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 107 BPM, D minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_022_-__FREE__Jaydayoungan_Type_Beat__Run_It____Prod._GD_Beats__gd_seg005,"10152023 - 022 - [FREE] Jaydayoungan Type Beat ""Run It"" | Prod. GD Beats (@gd.beats)",verse,verse,6,150.0,180.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 107 BPM, D minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_022_-__FREE__Jaydayoungan_Type_Beat__Run_It____Prod._GD_Beats__gd_seg006,"10152023 - 022 - [FREE] Jaydayoungan Type Beat ""Run It"" | Prod. GD Beats (@gd.beats)",outro,outro,7,180.0,210.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.25,closing,owned,"outro, 107 BPM, D minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_023_-_Wygus__CBW__Mata_-_Ma_olat_i_Pezet__Official_Instrumental__prod_seg000,"10152023 - 023 - Wyguś, CBW, Mata - Małolat i Pezet (Official Instrumental) prod. by Pesto",intro,intro,1,0.0,30.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.30,sparse opening,owned,"intro, 83 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_023_-_Wygus__CBW__Mata_-_Ma_olat_i_Pezet__Official_Instrumental__prod_seg001,"10152023 - 023 - Wyguś, CBW, Mata - Małolat i Pezet (Official Instrumental) prod. by Pesto",verse,verse,2,30.0,60.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 83 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_023_-_Wygus__CBW__Mata_-_Ma_olat_i_Pezet__Official_Instrumental__prod_seg002,"10152023 - 023 - Wyguś, CBW, Mata - Małolat i Pezet (Official Instrumental) prod. by Pesto",hook,hook,3,60.0,90.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 83 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_023_-_Wygus__CBW__Mata_-_Ma_olat_i_Pezet__Official_Instrumental__prod_seg003,"10152023 - 023 - Wyguś, CBW, Mata - Małolat i Pezet (Official Instrumental) prod. by Pesto",verse,verse,4,90.0,120.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 83 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_023_-_Wygus__CBW__Mata_-_Ma_olat_i_Pezet__Official_Instrumental__prod_seg004,"10152023 - 023 - Wyguś, CBW, Mata - Małolat i Pezet (Official Instrumental) prod. by Pesto",hook,hook,5,120.0,150.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 83 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_023_-_Wygus__CBW__Mata_-_Ma_olat_i_Pezet__Official_Instrumental__prod_seg005,"10152023 - 023 - Wyguś, CBW, Mata - Małolat i Pezet (Official Instrumental) prod. by Pesto",verse,verse,6,150.0,180.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 83 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_023_-_Wygus__CBW__Mata_-_Ma_olat_i_Pezet__Official_Instrumental__prod_seg006,"10152023 - 023 - Wyguś, CBW, Mata - Małolat i Pezet (Official Instrumental) prod. by Pesto",outro,outro,7,180.0,210.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.25,closing,owned,"outro, 83 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_024_-__FREE__GUNNA_X_TRAVIS_SCOTT_TYPE_BEAT_-__LEVEL_UP_seg000,10152023 - 024 - (FREE) GUNNA X TRAVIS SCOTT TYPE BEAT - ''LEVEL UP'',intro,intro,1,0.0,30.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.30,sparse opening,owned,"intro, 121 BPM, E minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_024_-__FREE__GUNNA_X_TRAVIS_SCOTT_TYPE_BEAT_-__LEVEL_UP_seg001,10152023 - 024 - (FREE) GUNNA X TRAVIS SCOTT TYPE BEAT - ''LEVEL UP'',verse,verse,2,30.0,60.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 121 BPM, E minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_024_-__FREE__GUNNA_X_TRAVIS_SCOTT_TYPE_BEAT_-__LEVEL_UP_seg002,10152023 - 024 - (FREE) GUNNA X TRAVIS SCOTT TYPE BEAT - ''LEVEL UP'',hook,hook,3,60.0,90.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 121 BPM, E minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_024_-__FREE__GUNNA_X_TRAVIS_SCOTT_TYPE_BEAT_-__LEVEL_UP_seg003,10152023 - 024 - (FREE) GUNNA X TRAVIS SCOTT TYPE BEAT - ''LEVEL UP'',verse,verse,4,90.0,120.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 121 BPM, E minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_024_-__FREE__GUNNA_X_TRAVIS_SCOTT_TYPE_BEAT_-__LEVEL_UP_seg004,10152023 - 024 - (FREE) GUNNA X TRAVIS SCOTT TYPE BEAT - ''LEVEL UP'',hook,hook,5,120.0,150.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 121 BPM, E minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_024_-__FREE__GUNNA_X_TRAVIS_SCOTT_TYPE_BEAT_-__LEVEL_UP_seg005,10152023 - 024 - (FREE) GUNNA X TRAVIS SCOTT TYPE BEAT - ''LEVEL UP'',verse,verse,6,150.0,180.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 121 BPM, E minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_024_-__FREE__GUNNA_X_TRAVIS_SCOTT_TYPE_BEAT_-__LEVEL_UP_seg006,10152023 - 024 - (FREE) GUNNA X TRAVIS SCOTT TYPE BEAT - ''LEVEL UP'',outro,outro,7,180.0,210.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.25,closing,owned,"outro, 121 BPM, E minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_025_-__FREE__TAKEOFF_X_DRAKE_X_GUNNA_TYPE_BEAT__VOICES_IN_YOUR_HEAD_seg000,"10152023 - 025 - [FREE] TAKEOFF X DRAKE X GUNNA TYPE BEAT ""VOICES IN YOUR HEAD""",intro,intro,1,0.0,30.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.30,sparse opening,owned,"intro, 114 BPM, F# minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_025_-__FREE__TAKEOFF_X_DRAKE_X_GUNNA_TYPE_BEAT__VOICES_IN_YOUR_HEAD_seg001,"10152023 - 025 - [FREE] TAKEOFF X DRAKE X GUNNA TYPE BEAT ""VOICES IN YOUR HEAD""",verse,verse,2,30.0,60.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 114 BPM, F# minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_025_-__FREE__TAKEOFF_X_DRAKE_X_GUNNA_TYPE_BEAT__VOICES_IN_YOUR_HEAD_seg002,"10152023 - 025 - [FREE] TAKEOFF X DRAKE X GUNNA TYPE BEAT ""VOICES IN YOUR HEAD""",hook,hook,3,60.0,90.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 114 BPM, F# minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_025_-__FREE__TAKEOFF_X_DRAKE_X_GUNNA_TYPE_BEAT__VOICES_IN_YOUR_HEAD_seg003,"10152023 - 025 - [FREE] TAKEOFF X DRAKE X GUNNA TYPE BEAT ""VOICES IN YOUR HEAD""",verse,verse,4,90.0,120.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 114 BPM, F# minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_025_-__FREE__TAKEOFF_X_DRAKE_X_GUNNA_TYPE_BEAT__VOICES_IN_YOUR_HEAD_seg004,"10152023 - 025 - [FREE] TAKEOFF X DRAKE X GUNNA TYPE BEAT ""VOICES IN YOUR HEAD""",hook,hook,5,120.0,150.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 114 BPM, F# minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_025_-__FREE__TAKEOFF_X_DRAKE_X_GUNNA_TYPE_BEAT__VOICES_IN_YOUR_HEAD_seg005,"10152023 - 025 - [FREE] TAKEOFF X DRAKE X GUNNA TYPE BEAT ""VOICES IN YOUR HEAD""",verse,verse,6,150.0,180.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 114 BPM, F# minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_025_-__FREE__TAKEOFF_X_DRAKE_X_GUNNA_TYPE_BEAT__VOICES_IN_YOUR_HEAD_seg006,"10152023 - 025 - [FREE] TAKEOFF X DRAKE X GUNNA TYPE BEAT ""VOICES IN YOUR HEAD""",bridge,bridge,7,180.0,210.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.50,transition,owned,"bridge, 114 BPM, F# minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_025_-__FREE__TAKEOFF_X_DRAKE_X_GUNNA_TYPE_BEAT__VOICES_IN_YOUR_HEAD_seg007,"10152023 - 025 - [FREE] TAKEOFF X DRAKE X GUNNA TYPE BEAT ""VOICES IN YOUR HEAD""",outro,outro,8,210.0,240.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.25,closing,owned,"outro, 114 BPM, F# minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_026_-_Piano_Gunna_Type_Beat_-_More_Life_seg000,10152023 - 026 - Piano Gunna Type Beat - More Life,intro,intro,1,0.0,30.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.30,sparse opening,owned,"intro, 125 BPM, F minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_026_-_Piano_Gunna_Type_Beat_-_More_Life_seg001,10152023 - 026 - Piano Gunna Type Beat - More Life,verse,verse,2,30.0,60.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 125 BPM, F minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_026_-_Piano_Gunna_Type_Beat_-_More_Life_seg002,10152023 - 026 - Piano Gunna Type Beat - More Life,hook,hook,3,60.0,90.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 125 BPM, F minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_026_-_Piano_Gunna_Type_Beat_-_More_Life_seg003,10152023 - 026 - Piano Gunna Type Beat - More Life,verse,verse,4,90.0,120.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 125 BPM, F minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_026_-_Piano_Gunna_Type_Beat_-_More_Life_seg004,10152023 - 026 - Piano Gunna Type Beat - More Life,hook,hook,5,120.0,150.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 125 BPM, F minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_026_-_Piano_Gunna_Type_Beat_-_More_Life_seg005,10152023 - 026 - Piano Gunna Type Beat - More Life,verse,verse,6,150.0,180.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 125 BPM, F minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_026_-_Piano_Gunna_Type_Beat_-_More_Life_seg006,10152023 - 026 - Piano Gunna Type Beat - More Life,outro,outro,7,180.0,210.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.25,closing,owned,"outro, 125 BPM, F minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_027_-__FREE__GUNNA_X_YOUNG_THUG_TYPE_BEAT_-__EXPERIMENT_seg000,10152023 - 027 - (FREE) GUNNA X YOUNG THUG TYPE BEAT - ''EXPERIMENT'',intro,intro,1,0.0,30.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.30,sparse opening,owned,"intro, 129 BPM, E minor, aggressive trap beat, 808 bass|trap hi-hats|piano, low energy"
10152023_-_027_-__FREE__GUNNA_X_YOUNG_THUG_TYPE_BEAT_-__EXPERIMENT_seg001,10152023 - 027 - (FREE) GUNNA X YOUNG THUG TYPE BEAT - ''EXPERIMENT'',verse,verse,2,30.0,60.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.60,narrative build,owned,"verse, 129 BPM, E minor, aggressive trap beat, 808 bass|trap hi-hats|piano, medium energy"
10152023_-_027_-__FREE__GUNNA_X_YOUNG_THUG_TYPE_BEAT_-__EXPERIMENT_seg002,10152023 - 027 - (FREE) GUNNA X YOUNG THUG TYPE BEAT - ''EXPERIMENT'',hook,hook,3,60.0,90.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.90,central hook,owned,"hook, 129 BPM, E minor, aggressive trap beat, 808 bass|trap hi-hats|piano, high energy"
10152023_-_027_-__FREE__GUNNA_X_YOUNG_THUG_TYPE_BEAT_-__EXPERIMENT_seg003,10152023 - 027 - (FREE) GUNNA X YOUNG THUG TYPE BEAT - ''EXPERIMENT'',verse,verse,4,90.0,120.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.60,narrative build,owned,"verse, 129 BPM, E minor, aggressive trap beat, 808 bass|trap hi-hats|piano, medium energy"
10152023_-_027_-__FREE__GUNNA_X_YOUNG_THUG_TYPE_BEAT_-__EXPERIMENT_seg004,10152023 - 027 - (FREE) GUNNA X YOUNG THUG TYPE BEAT - ''EXPERIMENT'',hook,hook,5,120.0,150.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.90,central hook,owned,"hook, 129 BPM, E minor, aggressive trap beat, 808 bass|trap hi-hats|piano, high energy"
10152023_-_027_-__FREE__GUNNA_X_YOUNG_THUG_TYPE_BEAT_-__EXPERIMENT_seg005,10152023 - 027 - (FREE) GUNNA X YOUNG THUG TYPE BEAT - ''EXPERIMENT'',outro,outro,6,150.0,180.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.25,closing,owned,"outro, 129 BPM, E minor, aggressive trap beat, 808 bass|trap hi-hats|piano, low energy"
10152023_-_028_-__FREE__Jaydayoungan_Type_Beat__Overtime____Prod._GD_Beats__gd_seg000,"10152023 - 028 - [FREE] Jaydayoungan Type Beat ""Overtime"" | Prod. GD Beats (@gd.beats)",intro,intro,1,0.0,30.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.30,sparse opening,owned,"intro, 83 BPM, C major, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_028_-__FREE__Jaydayoungan_Type_Beat__Overtime____Prod._GD_Beats__gd_seg001,"10152023 - 028 - [FREE] Jaydayoungan Type Beat ""Overtime"" | Prod. GD Beats (@gd.beats)",verse,verse,2,30.0,60.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 83 BPM, C major, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_028_-__FREE__Jaydayoungan_Type_Beat__Overtime____Prod._GD_Beats__gd_seg002,"10152023 - 028 - [FREE] Jaydayoungan Type Beat ""Overtime"" | Prod. GD Beats (@gd.beats)",hook,hook,3,60.0,90.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 83 BPM, C major, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_028_-__FREE__Jaydayoungan_Type_Beat__Overtime____Prod._GD_Beats__gd_seg003,"10152023 - 028 - [FREE] Jaydayoungan Type Beat ""Overtime"" | Prod. GD Beats (@gd.beats)",verse,verse,4,90.0,120.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 83 BPM, C major, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_028_-__FREE__Jaydayoungan_Type_Beat__Overtime____Prod._GD_Beats__gd_seg004,"10152023 - 028 - [FREE] Jaydayoungan Type Beat ""Overtime"" | Prod. GD Beats (@gd.beats)",hook,hook,5,120.0,150.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 83 BPM, C major, dark trap beat, 808 bass|trap hi-hats, high energy"
